prompt;doc_class_question_type;cer
Запиши четыре цифры серии паспорта и через пробел шесть цифр номера паспорта. Пример: 4369 975136.;passport Серия и номер паспорта;0.0
Напиши Фамилия. Пример: Куликов.;passport Фамилия;0.0
Напиши Имя. Пример: Арсен.;passport Имя;0.0
Напиши Отчество. В ответе укажи только одно слово. Пример: Михайлович.;passport Отчество;0.0
Напиши Дата рождения. Выйдай ответ в формате даты. Пример: 12.12.1975.;passport Дата рождения;0.0
Какой Пол изображен на картинке муж. или жен.? Ответ укажи строго с маленькой буквы. Пример: муж., жен.;passport Пол;0.0
Напиши Место рождения. Пример: Гор. Москва Московская обл.;passport Место рождения;0.0
Напиши Номер счет-фактуры. Укажи только цифру. Пример: 632.;invoice Номер счет-фактуры;0.0
Напиши Дату счет-фактуры. Пример: 22 января 1990.;invoice Дата счет-фактуры;0.0
Напиши кто Продавец. Укажи только название. Пример: ПАО «Лимончик»;invoice Продавец;0.0
Напиши кто Покупатель. Укажи только название. Пример: ИП Жуков;invoice Покупатель;0.0
